timestamp,x,y,z
470278024396,-0.51709,-1.15381,0.138672
470278037685,-0.576172,-1.0625,0.216309
470278060388,-0.552734,-0.973145,0.397949
470278076880,-0.25,-0.859375,0.541504
470278097915,0.0273438,-0.671387,0.543457
470278120434,0.0263672,-0.652344,0.35791
470278136875,-0.289551,-0.845703,0.117676
470278157904,-0.509766,-1.09277,-0.0292969
470278180374,-0.29541,-1.22852,-0.0161133
470278196858,-0.151855,-1.23291,-0.034668
470278242465,-0.248535,-1.1333,-0.168457
470278243251,-0.0234375,-1.12549,-0.225098
470278262837,0.0268555,-1.29639,-0.233398
470278279375,-0.0610352,-1.45312,-0.202637
470278301205,-0.00976562,-1.43799,-0.0883789
470278317679,0.015625,-1.27588,-0.0922852
470278337984,-0.109863,-1.12891,0.012207
470278360400,-0.612793,-1.20996,-0.00732422
470278376163,-0.57666,-1.09229,-0.0625
470278399336,-0.646484,-1.00977,0.00146484
470278420352,-0.625,-0.866211,-0.0151367
470278436224,-0.65625,-0.87207,-0.0483398
470278459302,-0.647949,-0.963379,-0.0727539
470278480393,-0.611816,-0.875977,-0.118652
470278496085,-0.482422,-0.772949,-0.177734
470278519822,-0.422852,-0.456543,-0.150879
470278540353,-0.450684,-0.185059,-0.078125
470278556150,-0.499512,-0.0883789,-0.0288086
470278579307,-0.486328,0.0810547,0.0532227
470278600405,-0.505859,-0.00976562,0.0742188
470278616133,-0.679199,-0.143066,0.129395
470278639261,-0.849609,-0.252441,0.143066
470278660432,-0.999023,-0.463867,0.0664062
470278676239,-1.03564,-0.700195,-0.0239258
470278699280,-0.999023,-0.93457,-0.120117
470278720407,-1.00195,-1.08447,-0.209961
470278736109,-1.08398,-0.942871,-0.152344
470278759389,-1.02051,-0.632812,-0.0703125
470278780354,-0.738281,-0.410156,0.0888672
470278796186,-0.251953,-0.298828,0.0239258
470278819376,0.124512,-0.654785,-0.273438
470278840292,-0.350098,-0.953613,-0.157715
470278856067,-0.620605,-1.15771,-0.0922852
470278879755,-0.409668,-0.849609,-0.0981445
470278900361,-0.466797,-0.992188,-0.136719
470278916191,-0.774414,-1.02734,-0.090332
470278939260,-0.867676,-1.11475,-0.0478516
470278960373,-0.667969,-1.19678,-0.0986328
470278976117,-0.538086,-1.16357,-0.151367
470278999273,-0.681641,-1.10205,-0.154297
470279020398,-0.796875,-1.0498,-0.134277
470279036170,-0.778809,-1.00342,-0.0732422
470279059383,-0.772949,-0.875,-0.0756836
470279080365,-0.887695,-0.767578,-0.0454102
470279096183,-1.01855,-0.723633,-0.0678711
470279119372,-0.983398,-0.797363,-0.065918
470279140261,-0.816406,-0.796875,0
470279156057,-0.666504,-0.672363,0.0268555
470279179392,-0.651855,-0.504883,0
470279200375,-0.634766,-0.443848,-0.0302734
470279216106,-0.479004,-0.434082,-0.0327148
470279239271,-0.470215,-0.326172,-0.0258789
470279260402,-0.553711,-0.199219,0
470279276140,-0.550781,-0.105957,0.00634766
470279305402,-0.607422,-0.151367,0.0302734
470279320445,-0.668457,-0.199219,0.0634766
470279336084,-0.771973,-0.336914,0.0512695
470279358671,-0.787598,-0.422363,0.046875
470279381914,-0.854492,-0.575195,-0.0166016
470279396205,-1.01465,-0.747559,-0.146973
470279418595,-1.00977,-0.842285,-0.140137
470279441786,-0.952148,-0.881836,-0.184082
470279462880,-0.933105,-0.773438,-0.134277
470279478728,-0.981934,-0.781738,-0.0698242
470279501920,-0.916504,-0.590332,-0.00927734
470279522779,-0.533203,-0.473633,0.046875
470279538593,-0.388672,-0.538086,-0.164062
470279561709,-0.347168,-0.704102,-0.379883
470279582808,-0.326172,-0.935059,-0.259766
470279598703,-0.298828,-1.02441,-0.189453
470279621778,-0.223633,-1.01758,-0.164062
470279642835,-0.146973,-1.00928,0.0976562
470279688553,0.0834961,-1.32715,0.179199
470279689361,0.192383,-1.44727,0.141113
470279704071,-0.0395508,-1.33838,0.187988
470279725382,-0.475098,-1.146,0.361816
470279749402,-0.428223,-1.24854,0.540039
470279763518,-0.369629,-1.17529,0.570312
470279778692,-0.422363,-0.871094,0.682617
470279801885,-0.619141,-0.530762,0.686035
470279822871,-0.765137,-0.449219,0.544922
470279838556,-0.900879,-0.613281,0.425781
470279861847,-0.92627,-0.910645,0.283203
470279884399,-0.679688,-1.03223,0.274414
470279898629,-0.382324,-0.989746,0.305176
470279929365,-0.200684,-0.861328,0.316406
470279942840,0.0986328,-0.650879,0.45166
470279966747,0.366211,-0.43457,0.65625
470279983126,0.235352,-0.318359,0.726074
470280002800,-0.0102539,-0.259277,0.682129
470280018606,-0.102051,-0.304199,0.554199
470280041847,-0.103027,-0.427734,0.487305
470280062953,-0.0449219,-0.733887,0.353516
